corpus,stage,engine,preset,elapsed_sec,ocr_total_sec,translate_total_sec,gpu_peak_used_mb,gpu_floor_free_mb,gpu_peak_util_percent,quality_gate_pass,geometry_match_recall,geometry_match_precision,non_empty_retention,ocr_char_error_rate,page_p95_ocr_char_error_rate,ocr_exact_text_match_ratio,translation_similarity_ratio,hard_gate_failures
china,default,PPOCRv5 + Gemma,ocr-combo-default-gemma,201.344,16.737,146.91,11959,41,100,False,1.0,1.0,0.9556,0.3333,0.3896,0.0667,0.5014,non_empty_retention<0.98: 0.9556; ocr_char_error_rate>0.02: 0.3333; page_p95_ocr_char_error_rate>0.05: 0.3896
china,default,PaddleOCR VL + Gemma,ocr-combo-china-reference,324.733,89.516,199.222,11975,25,85,True,1.0,1.0,1.0,0.0066,0.0138,0.8444,0.8728,
china,default,HunyuanOCR + Gemma,ocr-combo-hunyuanocr-gemma,251.549,19.917,194.618,11973,27,92,True,1.0,1.0,1.0,0.0159,0.0345,0.8,0.7502,
japan,default,MangaOCR + Gemma,ocr-combo-default-gemma,548.851,9.829,373.515,11952,48,91,False,1.0,0.9967,1.0,0.2879,0.4016,0.5663,0.7257,page_failed_count=1; gemma_truncated_count=3; ocr_char_error_rate>0.02: 0.2879; page_p95_ocr_char_error_rate>0.05: 0.4016; overgenerated_block_count=1
japan,default,PaddleOCR VL + Gemma,ocr-combo-japan-reference,984.152,451.397,453.344,11983,17,100,False,1.0,0.9967,1.0,0.0603,0.1452,0.7912,0.7862,ocr_char_error_rate>0.02: 0.0603; page_p95_ocr_char_error_rate>0.05: 0.1452; overgenerated_block_count=1
japan,default,HunyuanOCR + Gemma,ocr-combo-hunyuanocr-gemma,561.275,53.832,429.325,11969,31,92,False,1.0,0.9967,1.0,0.177,0.3231,0.502,0.6159,candidate_single_char_like_rate>0.0661: 0.1705; ocr_char_error_rate>0.02: 0.1770; page_p95_ocr_char_error_rate>0.05: 0.3231; overgenerated_block_count=1
