candidate_key,scheduler_mode,parallel_workers,measured_ocr_total_sec_median,measured_detect_ocr_total_sec_median,measured_ocr_page_p95_sec_median,measured_gpu_peak_used_mb_median,measured_gpu_floor_free_mb_median,measured_page_failed_count_max,measured_ocr_empty_block_count_median,quality_mean_cer,quality_mean_exact_match,quality_gate_pass,quality_gate_failures
fixed_area_desc_w8,fixed_area_desc,8,292.526,298.744,43.66,9227,2773,0,0,0.0,1.0,True,[]
fixed_w8,fixed,8,293.048,300.28,42.082,9479,2521,0,0,0.0,1.0,True,[]
auto_v1_cap4,auto_v1,4,295.765,301.865,40.871,9508,2492,0,0,0.0,1.0,True,[]
