label,preset,category,run_name,run_dir_rel,elapsed_sec,translate_median_sec,ocr_median_sec,inpaint_median_sec,page_failed_count,gemma_json_retry_count,gemma_chunk_retry_events,gemma_truncated_count,gemma_empty_content_count,ocr_empty_rate,ocr_low_quality_rate,gpu_peak_used_mb,gpu_floor_free_mb,audit_passed,n_gpu_layers
n_gpu_layers=20,translation-ngl20,ngl_one_page,20260405_225129_translation-ngl20_one-page_r1,./banchmark_result_log/20260405_225129_translation-ngl20_one-page_r1,44.145,15.856,20.171,3.211,0,0,0,0,0,0.0,0.0,11914.0,86.0,,20
n_gpu_layers=21,translation-ngl21,ngl_one_page,20260405_225451_translation-ngl21_one-page_r1,./banchmark_result_log/20260405_225451_translation-ngl21_one-page_r1,45.113,14.211,22.989,2.376,0,0,0,0,0,0.0,0.0,11950.0,50.0,,21
n_gpu_layers=22,translation-ngl22,ngl_one_page,20260405_225737_translation-ngl22_one-page_r1,./banchmark_result_log/20260405_225737_translation-ngl22_one-page_r1,44.549,12.113,23.648,3.031,0,0,0,0,0,0.0,0.0,11895.0,105.0,,22
n_gpu_layers=23,translation-ngl23,ngl_one_page,20260405_230023_translation-ngl23_one-page_r1,./banchmark_result_log/20260405_230023_translation-ngl23_one-page_r1,42.305,11.781,22.132,2.115,0,0,0,0,0,0.0,0.0,11976.0,24.0,,23
n_gpu_layers=24,translation-ngl24,ngl_one_page,20260405_230307_translation-ngl24_one-page_r1,./banchmark_result_log/20260405_230307_translation-ngl24_one-page_r1,43.485,14.806,20.976,2.589,0,0,0,0,0,0.0,0.0,11973.0,27.0,,24
