label,preset,category,run_name,run_dir_rel,elapsed_sec,translate_median_sec,ocr_median_sec,inpaint_median_sec,page_failed_count,gemma_json_retry_count,gemma_chunk_retry_events,gemma_truncated_count,gemma_empty_content_count,ocr_empty_rate,ocr_low_quality_rate,gpu_peak_used_mb,gpu_floor_free_mb,audit_passed,temperature
temperature=0.4,translation-t04,temperature_one_page,20260406_000110_translation-t04_one-page_r1,./banchmark_result_log/20260406_000110_translation-t04_one-page_r1,46.417,15.402,21.136,2.63,0,0,0,0,0,0.0,0.0,11985.0,15.0,,0.4
temperature=0.5,translation-t05,temperature_one_page,20260406_000423_translation-t05_one-page_r1,./banchmark_result_log/20260406_000423_translation-t05_one-page_r1,49.127,16.508,24.024,2.604,0,0,0,0,0,0.0,0.0,11956.0,44.0,,0.5
temperature=0.6,translation-t06,temperature_one_page,20260406_000711_translation-t06_one-page_r1,./banchmark_result_log/20260406_000711_translation-t06_one-page_r1,41.801,13.144,19.472,3.37,0,0,0,0,0,0.0,0.0,11954.0,46.0,,0.6
temperature=0.7,translation-t07,temperature_one_page,20260406_000955_translation-t07_one-page_r1,./banchmark_result_log/20260406_000955_translation-t07_one-page_r1,42.597,14.678,19.965,2.272,0,0,0,0,0,0.0,0.0,11932.0,68.0,,0.7
