corpus,stage,engine,preset,elapsed_sec,ocr_total_sec,translate_median_sec,gpu_peak_used_mb,quality_band,quality_gate_pass,geometry_match_recall,geometry_match_precision,non_empty_retention,ocr_char_error_rate,ocr_word_error_rate,page_p95_ocr_char_error_rate,overgenerated_block_rate,page_failed_rate,page_failed_count,gemma_truncated_count,winner_status
japan,final-confirm-r1,PaddleOCR VL + Gemma,C:\Users\pjjpj\Desktop\openai_manga_translater\comic-translate\banchmark_result_log\ocr_combo_ranked\20260408_052525_ocr-combo-ranked-runtime_suite\_generated_presets\japan-paddleocr-vl--gemma-conc16.json,779.051,458.749,10.921,11985,ready,True,1.0,0.9967,1.0,0.0603,0.0603,0.1452,0.0033,0.0,0,0,ready
japan,final-confirm-r2,PaddleOCR VL + Gemma,C:\Users\pjjpj\Desktop\openai_manga_translater\comic-translate\banchmark_result_log\ocr_combo_ranked\20260408_052525_ocr-combo-ranked-runtime_suite\_generated_presets\japan-paddleocr-vl--gemma-conc16.json,775.553,453.984,9.927,11984,ready,True,1.0,0.9967,1.0,0.0603,0.0603,0.1452,0.0033,0.0,0,0,ready
japan,final-confirm-r3,PaddleOCR VL + Gemma,C:\Users\pjjpj\Desktop\openai_manga_translater\comic-translate\banchmark_result_log\ocr_combo_ranked\20260408_052525_ocr-combo-ranked-runtime_suite\_generated_presets\japan-paddleocr-vl--gemma-conc16.json,800.288,454.447,11.179,11987,ready,True,1.0,0.9967,1.0,0.0603,0.0603,0.1452,0.0033,0.0,0,0,ready
