corpus,stage,engine,preset,elapsed_sec,ocr_total_sec,translate_median_sec,gpu_peak_used_mb,quality_band,quality_gate_pass,geometry_match_recall,geometry_match_precision,non_empty_retention,ocr_char_error_rate,ocr_word_error_rate,page_p95_ocr_char_error_rate,overgenerated_block_rate,page_failed_rate,page_failed_count,gemma_truncated_count
japan,smoke,MangaOCR + Gemma,ocr-combo-ranked-japan-mangaocr-gemma,28.214,2.839,16.644,11914,,,,,,,,,,,0,0
japan,smoke,PaddleOCR VL + Gemma,ocr-combo-ranked-japan-paddleocr-vl-gemma,65.599,28.073,27.439,11983,,,,,,,,,,,0,0
japan,smoke,HunyuanOCR + Gemma,ocr-combo-ranked-japan-hunyuanocr-gemma,39.902,3.984,27.363,11938,,,,,,,,,,,0,0
japan,smoke,PPOCRv5 + Gemma,ocr-combo-ranked-japan-ppocrv5-gemma,30.043,6.106,15.437,11952,,,,,,,,,,,0,0
