corpus,stage,engine,preset,elapsed_sec,ocr_total_sec,translate_median_sec,gpu_peak_used_mb,quality_band,quality_gate_pass,geometry_match_recall,geometry_match_precision,non_empty_retention,ocr_char_error_rate,ocr_word_error_rate,page_p95_ocr_char_error_rate,overgenerated_block_rate,page_failed_rate,page_failed_count,gemma_truncated_count
japan,engine-best,PaddleOCR VL + Gemma,C:\Users\pjjpj\Desktop\openai_manga_translater\comic-translate\banchmark_result_log\ocr_combo_ranked\20260408_052525_ocr-combo-ranked-runtime_suite\_generated_presets\japan-paddleocr-vl--gemma-conc16.json,763.153,445.214,10.374,11978,ready,True,1.0,0.9967,1.0,0.0603,0.0603,0.1452,0.0033,0.0,0,0
japan,engine-best,MangaOCR + Gemma,C:\Users\pjjpj\Desktop\openai_manga_translater\comic-translate\banchmark_result_log\ocr_combo_ranked\20260408_052525_ocr-combo-ranked-runtime_suite\_generated_presets\japan-mangaocr--gemma-exp7.json,240.715,7.608,6.516,11977,conditional,True,1.0,0.9967,1.0,0.1493,0.1493,0.2903,0.0033,0.0,0,0
japan,engine-best,HunyuanOCR + Gemma,C:\Users\pjjpj\Desktop\openai_manga_translater\comic-translate\banchmark_result_log\ocr_combo_ranked\20260408_052525_ocr-combo-ranked-runtime_suite\_generated_presets\japan-hunyuanocr--gemma-pw2.json,317.922,44.827,8.53,11952,conditional,True,1.0,0.9967,1.0,0.177,0.177,0.3231,0.0033,0.0,0,0
japan,engine-best,PPOCRv5 + Gemma,C:\Users\pjjpj\Desktop\openai_manga_translater\comic-translate\banchmark_result_log\ocr_combo_ranked\20260408_052525_ocr-combo-ranked-runtime_suite\_generated_presets\japan-ppocrv5--gemma-retry0306.json,302.009,54.026,6.071,11976,catastrophic,False,1.0,0.9967,0.988,0.6281,0.6281,0.8889,0.0033,0.0,0,0
