label,preset,category,run_name,run_dir_rel,elapsed_sec,translate_median_sec,ocr_median_sec,inpaint_median_sec,page_failed_count,gemma_json_retry_count,gemma_chunk_retry_events,gemma_truncated_count,gemma_empty_content_count,ocr_empty_rate,ocr_low_quality_rate,gpu_peak_used_mb,gpu_floor_free_mb,audit_passed,source
translation-t06 batch,translation-t06,batch_finalist,20260406_001330_translation-t06_batch_r1,./banchmark_result_log/20260406_001330_translation-t06_batch_r1,1048.742,12.15,16.604,2.253,0,1,1,0,0,0.0,0.0397,11989.0,11.0,True,candidate
translation-ngl23 batch,translation-ngl23,batch_finalist,20260405_233628_translation-ngl23_batch_r1,./banchmark_result_log/20260405_233628_translation-ngl23_batch_r1,1053.787,12.999,16.821,2.215,0,1,2,1,0,0.0,0.0397,11983.0,17.0,True,candidate
baseline batch,translation-baseline,batch_finalist,20260405_231837_translation-baseline_batch_r1,./banchmark_result_log/20260405_231837_translation-baseline_batch_r1,1067.117,13.511,16.358,2.081,0,1,2,1,0,0.0,0.0397,11980.0,20.0,,baseline
